Academic Year,Department Name,Main Course No,Main course Name,Detail Course No,Detail Course Name,Total Students
2017/2018-Semester 1,Business Studies,BAAC4205,Forex Management,BAAC4100,Management Accounting -2,18
2017/2018-Semester 1,Business Studies,BAAC4211,Graduation Project,BAAC4100,Management Accounting -2,1
2017/2018-Semester 1,Business Studies,BAFI3301,Project Appraisal,BAAC4100,Management Accounting -2,3
2017/2018-Semester 1,Business Studies,BALW4115,Business Law,BAAC4100,Management Accounting -2,23
2017/2018-Semester 1,Business Studies,BAMG4201,Production And Operations Management,BAAC4100,Management Accounting -2,1
2017/2018-Semester 1,Business Studies,PHIL3201,Formal Arabic Communication,BAAC4100,Management Accounting -2,4
2017/2018-Semester 1,Business Studies,PHIL4101,Oman Civilization,BAAC4100,Management Accounting -2,3
2017/2018-Semester 1,Business Studies,BAAC4100,Management Accounting -2,BAAC4203,Auditing & Control -2,22
2017/2018-Semester 1,Business Studies,BAAC4204,Accounting Theory,BAAC4203,Auditing & Control -2,22
2017/2018-Semester 1,Business Studies,BAAC4205,Forex Management,BAAC4203,Auditing & Control -2,20
2017/2018-Semester 1,Business Studies,BAAC4211,Graduation Project,BAAC4203,Auditing & Control -2,1
2017/2018-Semester 1,Business Studies,BAFI3301,Project Appraisal,BAAC4203,Auditing & Control -2,1
2017/2018-Semester 1,Business Studies,BALW4115,Business Law,BAAC4203,Auditing & Control -2,22
2017/2018-Semester 1,Business Studies,PHIL3201,Formal Arabic Communication,BAAC4203,Auditing & Control -2,5
2017/2018-Semester 1,Business Studies,PHIL4101,Oman Civilization,BAAC4203,Auditing & Control -2,4
2017/2018-Semester 1,Business Studies,BAAC4100,Management Accounting -2,BAAC4204,Accounting Theory,20
2017/2018-Semester 1,Business Studies,BAAC4203,Auditing & Control -2,BAAC4204,Accounting Theory,22
2017/2018-Semester 1,Business Studies,BAAC4205,Forex Management,BAAC4204,Accounting Theory,20
2017/2018-Semester 1,Business Studies,BAAC4211,Graduation Project,BAAC4204,Accounting Theory,3
2017/2018-Semester 1,Business Studies,BALW4115,Business Law,BAAC4204,Accounting Theory,19
2017/2018-Semester 1,Business Studies,PHIL3201,Formal Arabic Communication,BAAC4204,Accounting Theory,5
2017/2018-Semester 1,Business Studies,PHIL4101,Oman Civilization,BAAC4204,Accounting Theory,5
2017/2018-Semester 1,Business Studies,BAAC4100,Management Accounting -2,BAAC4205,Forex Management,18
2017/2018-Semester 1,Business Studies,BAAC4203,Auditing & Control -2,BAAC4205,Forex Management,20
2017/2018-Semester 1,Business Studies,BAAC4204,Accounting Theory,BAAC4205,Forex Management,20
2017/2018-Semester 1,Business Studies,BAAC4211,Graduation Project,BAAC4205,Forex Management,3
2017/2018-Semester 1,Business Studies,BAFI4100,Computer Application In Finance,BAAC4205,Forex Management,1
2017/2018-Semester 1,Business Studies,BALW4115,Business Law,BAAC4205,Forex Management,18
2017/2018-Semester 1,Business Studies,PHIL3201,Formal Arabic Communication,BAAC4205,Forex Management,5
2017/2018-Semester 1,Business Studies,PHIL4101,Oman Civilization,BAAC4205,Forex Management,4
2017/2018-Semester 1,Business Studies,BAAC4100,Management Accounting -2,BAAC4211,Graduation Project,1
2017/2018-Semester 1,Business Studies,BAAC4203,Auditing & Control -2,BAAC4211,Graduation Project,1
2017/2018-Semester 1,Business Studies,BAAC4204,Accounting Theory,BAAC4211,Graduation Project,3
2017/2018-Semester 1,Business Studies,BAAC4205,Forex Management,BAAC4211,Graduation Project,3
2017/2018-Semester 1,Business Studies,PHIL3201,Formal Arabic Communication,BAAC4211,Graduation Project,4
